"Page Builder","Page Builder"
Save,Save
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Export,Export
Settings,Settings
"Hurray! Your %1 is live.","Hurray! Your %1 is live."
Document,Document
"General Settings","General Settings"
Title,Title
Status,Status
"Sorry, you need permissions to view this content","Sorry, you need permissions to view this content"
"%s Settings","%s Settings"
"Updated %1","Updated %1"
Single,Single
"Body Style","Body Style"
Padding,Padding
Reset,Reset
Discard,Discard
Apply,Apply
Deprecated,Deprecated
Default,Default
None,None
Horizontal,Horizontal
Vertical,Vertical
Blur,Blur
Spread,Spread
Color,Color
Top,Top
Right,Right
Bottom,Bottom
Left,Left
"Link values together","Link values together"
"Unlinked values","Unlinked values"
"Add Images","Add Images"
Classic,Classic
Gradient,Gradient
Video,Video
Slideshow,Slideshow
"Background Type","Background Type"
"Background Color","Background Color"
Location,Location
"Second Color","Second Color"
Type,Type
Linear,Linear
Radial,Radial
Angle,Angle
Position,Position
"Center Center","Center Center"
"Center Left","Center Left"
"Center Right","Center Right"
"Top Center","Top Center"
"Top Left","Top Left"
"Top Right","Top Right"
"Bottom Center","Bottom Center"
"Bottom Left","Bottom Left"
"Bottom Right","Bottom Right"
Image,Image
"Background Image","Background Image"
Custom,Custom
"X Position","X Position"
"Y Position","Y Position"
Attachment,Attachment
Scroll,Scroll
Fixed,Fixed
"Note: Attachment Fixed works only on desktop.","Note: Attachment Fixed works only on desktop."
Repeat,Repeat
No-repeat,No-repeat
Repeat-x,Repeat-x
Repeat-y,Repeat-y
Size,Size
Auto,Auto
Cover,Cover
Contain,Contain
Width,Width
"Video Link","Video Link"
"YouTube/Vimeo link, or link to video file (mp4 is recommended).","YouTube/Vimeo link, or link to video file (mp4 is recommended)."
"Start Time","Start Time"
"Specify a start time (in seconds)","Specify a start time (in seconds)"
"End Time","End Time"
"Specify an end time (in seconds)","Specify an end time (in seconds)"
"Play Once","Play Once"
"Play On Mobile","Play On Mobile"
"Background Fallback","Background Fallback"
"This cover image will replace the background video in case that the video could not be loaded.","This cover image will replace the background video in case that the video could not be loaded."
Images,Images
"Infinite Loop","Infinite Loop"
Duration,Duration
Transition,Transition
"Transition Duration","Transition Duration"
"Ken Burns Effect","Ken Burns Effect"
Direction,Direction
In,In
Out,Out
"Border Type","Border Type"
Solid,Solid
Double,Double
Dotted,Dotted
Dashed,Dashed
Groove,Groove
"Box Shadow","Box Shadow"
Outline,Outline
Inset,Inset
Brightness,Brightness
Contrast,Contrast
Saturation,Saturation
Hue,Hue
"CSS Filters","CSS Filters"
"Image Size","Image Size"
"Image Dimension","Image Dimension"
"You can crop the original image size to any custom size. You can also set a single value for height or width in order to keep the original size ratio.","You can crop the original image size to any custom size. You can also set a single value for height or width in order to keep the original size ratio."
Full,Full
"Text Shadow","Text Shadow"
Family,Family
Weight,Weight
Transform,Transform
Uppercase,Uppercase
Lowercase,Lowercase
Capitalize,Capitalize
Normal,Normal
Style,Style
Italic,Italic
Oblique,Oblique
Decoration,Decoration
Underline,Underline
Overline,Overline
"Line Through","Line Through"
Line-Height,Line-Height
"Letter Spacing","Letter Spacing"
Typography,Typography
"Select Icon","Select Icon"
Remove,Remove
"Icon Library","Icon Library"
Height,Height
"Choose Image","Choose Image"
"Choose Video","Choose Video"
Edit,Edit
"Back to default","Back to default"
"Add Item","Add Item"
No,No
Yes,Yes
"Paste URL or type","Paste URL or type"
"Link Options","Link Options"
"Open in new window","Open in new window"
"Add nofollow","Add nofollow"
Layout,Layout
1-Column,1-Column
"Full width","Full width"
Empty,Empty
Page,Page
Section,Section
Template,Template
Column,Column
"Column Width","Column Width"
"Vertical Align","Vertical Align"
Middle,Middle
"Space Between","Space Between"
"Space Around","Space Around"
"Space Evenly","Space Evenly"
"Horizontal Align","Horizontal Align"
Start,Start
Center,Center
End,End
"Widgets Space","Widgets Space"
"HTML Tag","HTML Tag"
Background,Background
Hover,Hover
"Background Overlay","Background Overlay"
Opacity,Opacity
"Blend Mode","Blend Mode"
Border,Border
"Border Radius","Border Radius"
"Note: The following colors won't work if Default Colors are enabled.","Note: The following colors won't work if Default Colors are enabled."
"Heading Color","Heading Color"
"Text Color","Text Color"
"Link Color","Link Color"
"Link Hover Color","Link Hover Color"
"Text Align","Text Align"
Advanced,Advanced
Margin,Margin
Z-Index,Z-Index
"CSS ID","CSS ID"
"Add your custom id WITHOUT the Pound key. e.g: my-id","Add your custom id WITHOUT the Pound key. e.g: my-id"
"CSS Classes","CSS Classes"
"Add your custom class WITHOUT the dot. e.g: my-class","Add your custom class WITHOUT the dot. e.g: my-class"
"Motion Effects","Motion Effects"
"Entrance Animation","Entrance Animation"
"Animation Duration","Animation Duration"
Slow,Slow
Fast,Fast
"Animation Delay","Animation Delay"
Responsive,Responsive
"Responsive visibility will take effect only on preview or live page, and not while editing in Goomento.","Responsive visibility will take effect only on preview or live page, and not while editing in Goomento."
"Hide On Desktop","Hide On Desktop"
"Hide On Tablet","Hide On Tablet"
"Hide On Mobile","Hide On Mobile"
"Stretch Section","Stretch Section"
"Stretch the section to the full width of the page using JS.","Stretch the section to the full width of the page using JS."
"Content Width","Content Width"
Boxed,Boxed
"Full Width","Full Width"
"Columns Gap","Columns Gap"
"No Gap","No Gap"
Narrow,Narrow
Extended,Extended
Wide,Wide
